Transaction name: New, Total time: 0, Total count: 5142 

Transaction name: Rel, Total time: 1526, Total count: 50 

Transaction name: Pay, Total time: 289, Total count: 39960 

Transaction name: Del, Total time: 0, Total count: 716 

Transaction name: Sto, Total time: 0, Total count: 122 

Transaction files: 10, Total Count: 42016,Time Taken: 4029s, Throughput: 10.43, Average: 95.87ms, Median: 12ms, 95: 176ms, 99: 326ms
Transaction name: Pop, Total time: 0, Total count: 143 

Transaction name: Ord, Total time: 0, Total count: 120 

Transaction name: New, Total time: 0, Total count: 4032 

Transaction name: Rel, Total time: 1956, Total count: 66 

Transaction name: Pay, Total time: 306, Total count: 33510 

Transaction name: Del, Total time: 0, Total count: 4016 

Transaction name: Sto, Total time: 0, Total count: 129 

Transaction files: 17, Total Count: 67165,Time Taken: 4785s, Throughput: 14.04, Average: 71.22ms, Median: 12ms, 95: 114ms, 99: 326ms
Transaction name: Pop, Total time: 0, Total count: 131 

Transaction name: Ord, Total time: 0, Total count: 136 

Transaction name: New, Total time: 0, Total count: 4440 

Transaction name: Rel, Total time: 2356, Total count: 59 

Transaction name: Pay, Total time: 464, Total count: 61416 

Transaction name: Del, Total time: 0, Total count: 849 

Transaction name: Sto, Total time: 0, Total count: 134 

Transaction files: 16, Total Count: 70478,Time Taken: 5699s, Throughput: 12.37, Average: 80.83ms, Median: 11ms, 95: 114ms, 99: 317ms
Transaction name: Ord, Total time: 0, Total count: 134 

Transaction name: Pop, Total time: 0, Total count: 137 

Transaction name: New, Total time: 0, Total count: 8599 

Transaction name: Rel, Total time: 2913, Total count: 71 

Transaction name: Pay, Total time: 543, Total count: 60202 

Transaction name: Del, Total time: 0, Total count: 1214 

Transaction name: Sto, Total time: 0, Total count: 121 

